,reviewerName,headline,inLanguage,datePublished,reviewBody,ratingValue,business
10,customer,Lol its funny to see all these people…,en,2020-02-07T01:03:29Z,"Lol its funny to see all these people buying range rovers and just any model from land rover expecting it to actually work and last... land rover are so unreliable and everyone knows it but they buy these evoques and are surprised when it packs up a week later. 

Parents bought a range rover sport with around 4k miles on clock and literally serviced beyong belief, month later dashboard lights flicker on and off and car dies while driving on a roundabout...had that fixed then not even a week later it wouldn't come out of park, just so many issues and i told them not to bother but atleast now they'll learn, to say how expensive these cars are they're so bad, before that they had a disco 4 and even that had nothing but problems. 

Sure they look good and you can show off and say oh look at me but they really aren't worth the money and if you buy one thinking these are well made and will be cheap to maintain then good luck.",3,Land Rover
11,Gemma Weir,IF YOU COULD LEAVE MINUS STARS I WOULD,en,2020-02-04T13:39:13Z,"IF YOU COULD LEAVE MINUS STARS I WOULD.  I was so gobsmacked by my expereince with Land Rover and their Customer Expereince that I wanted to search if others have had similar experiences before I progress my complaint through solicitors and the Ombudsman.  It comes as little surprise to read all these negative reviews and echos my experience.  I rarely leave bad reviews as they can be so damaging and I have seen the other side of when an unfair negative review has been left.  However, I felt compelled to review my experience with Land Rover as I have genuinley never dealt with a company so bad,   If their complaints department are so busy that they have too many complaints to deal with (not returning any calls/emails over 2 months) then they perhaps need to review quite why they are getting so many complaints.",1,Land Rover
12,Midbamz Suites,I  am utterly disappointed with my…,en,2020-02-03T21:16:58Z,"I  am utterly disappointed with my recent experiences with the land Rover Evoque D180 SE and the customer care received from Land Rover Assistance .

First and foremost I have to say my experience with Land Rover prior to my recent episodes was nothing short of excellent . I owned a 15 plate Land Rover Evoque SD4 Pure Tech 9  for  3 years 11months and it was an absolute delight .I was sorry to let it go after 38K miles on the clock as I had my eyes on the newer sleeker D180 SE  model I..... wish I hadn’t !!!


My first negative experience was when I bought an ex- demonstration D180SE with 330 miles on the clock , as I was about to drive off in my newly acquired car , warning lights of  “all manner”  kept flashing furiously on the dashboard. Alas! I was told the car had to be returned to the factory although I was kindly offered a refund which took almost a week to process ,I had  a couple of doubts but pushed them aside.
I was still enthusiastic , albeit I was toying  with  the thought of  going back to my first love MBenz . I’ve had two in the past and they never let me down, but the allure of the new Evoque was too overpowering.

I opted to go back to the dealership where I bought my previous Evoque, Shukers  in Shrewsbury and they were wonderful. Consequently, i became  the proud owner of a D180 SE Evoque  on the 17th of Jan, I was beyond elated , it only had 50 miles on the clock !!!!
Two weeks in, the transmission light came on and to my horror the car “died” on an A road not too far from home . I promptly called Land Rover assistance and things were fine , car got towed home. But from then on I have had to chase up LRA  with over 19 phone calls , just so that I can move on with my life , get the car dropped off for diagnostics and pick up a short term replacement  car .

Not happy and really disappointed ,not only with the service but that 2 new D180SE Evoques could develop faults . It hardly fills you with confidence and it has got me thinking !


I am truly disappointed",1,Land Rover
13,Zafer Ipekci,Bad bad service experience,en,2020-02-03T01:01:39Z,"Service experience sucks with this company.
Summary: They couldn't figure out what the problem is but a local mechanic shop could. They even charged me 500$ for not finding the problem. I doubt about them even checking it out.

I have a 2013 Range Rover Evoque Pure.
My car was not starting so I got it diagnosed by a third party technician.
I was told that the starter was not working so we got the starter replaced. The starter I bought was a brand new one that was triple tested so that we knew that it was working. But after we got it replaced the car still didn't start.
So I thought that it would be better to bring the car to an Authorized dealer.
One would expect that an authorized dealer would be proficient at what they do.
On December 19 2019 I brought my car to the Land Rover Jaguar of Stevens Creek. I told them what happened and what the problem is. I told them that the starter is newly replaced. These remarks are already present on the service documents that they gave me.
After their diagnosis they told me that the starter was not working and it needs to be replaced. I didn't believe them because of my past experience and because of the fact that it was replaced just yet. So I took the car and brought it to a local mechanic shop.
They checked the car and told me that the problem was not the starter but  positive cable harness to the starter motor. They ordered new parts and replaced it. Right now everything works fine.",1,Land Rover
14,Farah,Worse customer support ever encountered. HORRIBLE,en,2020-01-30T14:50:40Z,"If there was an option to not put a start rating at all, I would have done that. Seriously, this is the most horrible experience I have ever had with customer service (if you could indeed call them that). 

So, we bought a NEW car from Land Rover and two weeks ago we heard a strange noise when we were turning right. The emergency assistance came and said the car needs to go to service right away. So we took an appointment and dropped the car over, and took a courtesy car. We did not hear anything for two days, because they don't feel there is a need for them to notify the customer of what is going on. So my husband calls them, and they say that the front Axle needs replacing. Seriously, until this minute, we do not understand how a brand new car (2020 model) that is literally a month and a half old would need to have the front axle replaced. They said it would be ready in 3 days because ""they have already ordered the part and it will be ready in three days"". Three days later, no word of what's happening with our car. We call again and they say that the steering column needs to be replaced as well. So, at this point, we freak out. We call customer service and raise an official complain. We also call the dealership that we bought the car from in order to try and find some support, assuming that ANYONE at Land Rover will eventually care about the customer, however, unfortunately, we were mistaken. The customer service representative at the dealership where we bought the car calls the service workshop where our car is, and to our surprise, they say that the only thing that needs replacing is the driveshaft (that's new information for us). I am sure that by now you understand how frustrated we are. The car has been with Land Rover since the 21st of January 2020, and they tell us a different story every time. Even when the customer service person responsible for our case gave us a call, all she said was that we should have not taken the car to the dealership that we have (which is still Jaguar Land Rover), we should have taken it to the one we bought the car from. Keeping in mind, they were the ones that booked the appointment based on what was available at the time. So, instead of trying to offer us any type of support, she was actually very blunt and did absolutely nothing. 
Finally, my husband tries to explain that we are extremely frustrated at this point (rightly so), and that we want to look at options for getting a more reliable vehicle, and the only response that we got was ""well, you were kept mobile when we had your car"" and that they are doing ""everything"" they can to fix it!
This is absolutely horrible. Jaguar Land Rover's customer service is the worse we have had to deal with. They gave us a car that is an older model than ours, extremely dirty and reeks of cigarette smell. Keeping in mind I use this car to drive my kids to school. 
We have been promised (for like the fourth time) that our car will be available on Tuesday (that's in 2 working days). So we still have to wait and see what they have been doing with our car for all this time and to 'hopefully' get a report that is authentic about what was wrong with the car. 
I am just appalled at the minute. I really don't know what to do. So I am writing this long review to just warn anyone who plans to buy a car from Jaguar Land Rover, for your own sake, think twice! They are horrible at customer service, and if our 2020 brand new discovery sport needs that much work only after a month and a half, then I really don't know what to say.
Hope your luck is better than ours!",1,Land Rover
15,don howieson,Range Rover Evoque the most unreliable…,en,2020-01-29T22:31:37Z,"Range Rover Evoque the most unreliable vehicle as voted by Which. Think twice
48 grand today 24 in 2 years time
It will be in the garage more than the mechanic that works there
You have been warned
THINK TWICE IF YOU WANT RELIABILITY DRIVE ON",1,Land Rover
16,farnoush,"Save your money, avoid at all cost",en,2020-01-27T21:56:47Z,"Purchased my discovery in March 2018 which has been the worst purchase of my entire life. Faulty engine which they’ve denied, been serviced when only 18000 miles clocked as it was so problematic and off course I had to be carless for 5 days with no courtesy car, no one to take responsibility, rude arrogant manager, and surprise surprise I got a msg again last wk that the car needs to be serviced, just after 6 months of full service which I paid for.
Never once had any problem with my Hyandai ix35 over 3 yrs. AVOID LIKE THE PLAGUE.
My dreadful experience is based on the watford branch. Nasty unprofessional money hungry sales people.",1,Land Rover
17,Oliver Mcloughlin,Where do i start?!!,en,2020-01-27T11:38:22Z,"Where do i start?!!
I never leave reviews but i have to get the word out, i've given this company so many chances. THEIR CUSTOMER SERVICE IS TERRIBLE! If you buy a car from this company and something goes wrong, don't expect them to help you. Try giving the service dept a call, you'll be lucky to get through! There's a 6 week wait for a courtesy car, had my car in 5 times and still not fixed, they agreed to give me compensation then the guy who was dealing with it left and so no one knows anything now! £75,000 for a car i paid, thinking i'd get a great car and service but once they have your money they don't care!",1,Land Rover
18,Art Lounge International T.V OFFICIAL ArtVlogger,If I could rate 0 I would,en,2020-01-26T16:52:10Z,"If I could rate 0 I would
Shambolic service
Rudeness from staff both Dealer and customer relations 
Unwillingness to accept flaws with cars
Trained to deny Faults /claims
Warranty means nothing
No customer care whatsoever
No call backs
No courtesy cars
Dealers full of angry clients with same issues
Make you pay for everything and accept nothing!
Gesture means nothing to Landrover
Incapable atrocious service from dealer staff
Call center staff not trained to talk good English ,very dismissive will NEVER apologise!!
List goes on
NEVER buy a Range Rover sport unless you want to spend more than the value of the car In fault repairs
Cars not fit for purpose
Will wade through a canal, climb a mountain but can’t go to Tesco’s as the dpf will block up!!!’ What a joke.",1,Land Rover
19,Linn LP12 Lid Hinges,Landrover service - you don;t get what you pay for.,en,2020-01-21T10:53:30Z,"It appears that most Landrover service departments are unable to provide any level of common courtesy, including multiple promises to return a call within 1 hour, never actually having any available vehicles, taking a whole day to re-diagnose what Landrover assist managed to do in 6 minutes, and not even having the humility to apologise.
Unfortunately their excuse is always ""we have been very busy lately"" which translates to either they are short staffed and put undue pressure on their technicians, or their vehicles are not actually very reliable in the first place.. or more likely both.

I base my comments on Lancaster Milton Keynes and Marshalls of Bedford, but it appears this is actually a systemic problem.",1,Land Rover
20,L. Clarke,can anyone at Land Rover answer the phone?,en,2020-01-20T09:31:09Z,"Why oh why do Land Rover Milton Keynes service department never answer the phone? I’ve been trying for 2 months to book a service, it’s impossible. How can anyone run a company with such poor customer service?",1,Land Rover
21,Donald,Appauling,en,2020-01-19T22:43:00Z,Appauling especially parks landrover in Ayr. Promise u 100 percent cars fixed makes it 18 miles and breaks down with same defect Ralf Speth your a joke,1,Land Rover
22,Jez,Stay away,en,2020-01-14T12:08:07Z,"Stay away - combination of poor manufacture together with nonexistent customer care when things go downhill. 

Brand new car only three months old and spent 6 days with the dealership, 50% issues still exist.

Driver’s seat gone flat within weeks of purchase and according to Land rover its 'wear and tear' 

Other more serious issues were at first working as per design and then fixed and now nobody knows. 

An absolute joke of a company.",1,Land Rover
23,Paula  Jenkinson,If you're considering buying a Land…,en,2020-01-09T12:21:22Z,"If you're considering buying a Land Rover - and insuring through Land Rover Insurance - DON'T  They can't be trusted.   We have been with Land Rover Insurance for 19 years - same vehicle - one small claim  .  We recently contacted Land Rover insurance to let them know that we would be having work done to our Defender and that it would be housed at a different address (workshop) while work was carried out by a qualified Land Rover specialist.  We did everything properly and honestly. They charged us for letting them know...  When the work was complete - again, we did everything properly and contacted them. We were shocked to be told that our insurance had run out weeks ago... and we were without insurance - they had written - not to us - but to the Defender - at the work shop - to let it know that they would no longer insure it due to it's age.  We're very fond of our old Land Rover and it's a fantastic vehicle - but it can't open letters, it can't read - and it bloody well doesn't pay it's own insurance premiums !!!  We had been uninsured for weeks.  We were lied to by everyone we spoke to at their call center (including management) while they continually tried to change their story to cover up the fact that they had messed up.  They tried to blame us - they tried to blame each other and at no point did they treat us with anything like the respect we deserved as longstanding customers.  If this is the way in which Land Rover Insurance conduct it's business - god help anyone who finds them self in a situation where they need to call on them in crisis.  We have received a letter of apology - not a very gracious one.  I, personally would have left out the bit about it being 'the customer's responsibility to insure a vehicle'  It seems we are also to receive a cheque for £50 as an apology for an administrative error...  I would suggest that some staff training might be in order - starting at the top.  I would also suggest some thought should go into re-branding this business.   Land Rover Defenders don't die - 75% of all Defenders built are still on the road.  If Land Rover Insurance wont/can't insure them once they are over a certain age -  they have no business trading under the Land Rover brand.  Don't trust this company - they will not treat you with respect and their only interest in you as a customer is your direct debit.",1,Land Rover
24,Ol'Cock,Land Rover phone,en,2020-01-08T02:50:06Z,"I have two of these phone's. At first great phone.....then issues after about 1 year. Blue tooth keeps turning on automatically on one of the phones and the battery was great in the beginning,  now barley lasts half a day and take's forever to charge. I  have to turn the phone off to charge them otherwise they don't charge, they stay at thew same percentage. It first happened with 1 phone after about a year......then same thing happened to my wife's phone a month later. Also the battery adventure pack no longer chargers our phones. So this is not an isolated incident as its happened  with both our phones. We have just finished a year Africa overloading tour. This phone has let us down and not made for African conditions. VERY DISAPPOINTED!  Not as good as advertised. I don't recommend you buy one. I will never buy one again. It's by far the worse rugged phone we have ever purchased.",1,Land Rover
25,Brice Ferret,My car was locked and alarmed but still burglars were able to break in,en,2020-01-03T14:06:38Z,"Well, guess what? My next car will not be a JLR as they do not accept any responsibilities!
My car was locked and alarmed but still, burglars were able to break in and JLR are washing their hands of the problem!

From: Brice Ferret 

To: J Agcrc 

Car registration: OW17 BHJ
Dear Sir/Madam, My car was hacked and burgled between Wednesday night (27/11) and Thursday AM (28/11) just in front of my flat’s windows without the alarm going off. The incident was reported to the police (case number:2533175/19). Few items were stolen and I am writing to claim for them back: Pair of sunglasses Tom Ford in the sunglasses compartment (£235 on Tomford.co.uk). Pair of Sunglasses Rayban in the glovebox (£121 Justin model on sunglasshut.com)TP link portable WIFI located in the console (£65 on Amazon)Total £421As a manufacturer JLR have the responsibility to sell a product fit to purpose. In that case, the car should be locked securely and hackers should not be able to get into my car to steal my belongings without breaking a window! This is not an insurance claim but a quality claim as the car is under warranty and this should not happen! The Police said that I should keep my keys in a metallic box to avoid this kind of incident. This was never mentioned to me when I bought the car from Jaguar which I can understand... this is not a great selling point! To my knowledge, this is not also in the instructions manual. I also like my car to be checked ASAP for free and will need a courtesy car. Only a few hundred pounds were stolen but the car could have been stolen in the process. This would have been far more costly!Finally, as compensation for the disturbance, I am not asking for any money but just my wheels to be refurbished when you will check the locking/alarm system. This is more than reasonable considering what I had to go through in the last few days. I have been a very happy Jaguar customer up to now and I am due to change my car in 18 months (looking at a potential F Pace). Depending on the outcome of this claim, I will revisit my options as you can imagine. Thanks in advance for your help.Best regards.Brice Ferret",1,Land Rover
26,Richard,Bought my wife a land rover discovery…,en,2019-12-31T11:17:49Z,"Bought my wife a land rover discovery for Christmas. Received it with a nail in the tyre. Instead of offering to fix it as there s a tyre repair kit, They proceeded to simply sell me another tyre at £124. I asked for different wheels after agreeing to swap for a newer model and their response was ok we will paint the wheels of a luxury vehicle. Seriously? They then proceeded to send me a care plan for the model I no longer wanted for my wife knowing full well that the vehicle was being sent back. Would be great if the rest of their services were as efficient as their background processes, Would not ever buy from them again after completing this sale, There appear to be many more people who are feeling the same as me regarding their after-sales service.",1,Land Rover
27,Clive Sirju,Horrible served and poor quality.,en,2019-12-30T16:01:05Z,"Have a discovery sport that’s just over a year old. Recently brakes started making a squealing sound when slowing down. Took it landrover in ascot, after checking they said this was normal and it needs to warm up first. What??? This is a luxury vehicle. I proceeded to call customer service. I was told this needs to be escalated and someone will call item in 2 days. It’s been more than a week now and no one called. Been trying to call and no one answers. Seriously stay away from Land Rover.",1,Land Rover
28,Mick Everett,Land Rover Customer Service (or lack of it!),en,2019-12-20T10:40:43Z,"I am currently really disappointed with the response (or lack of) from Land Rover Customer Services.  I emailed them over 10 days ago; had an auto-response promising a reply within 2 working days; chased them after that; was left a voicemail message (on my wife's phone for some reason) on day 5 promising me they would assign my case soon and I would get an update on Thursday (day 10).  It is now Friday and I still haven't had anything back from Land Rover Customer Services, despite trying to contact them towards EOB Thursday.  Do they have a reputation for not meeting their promises or am I unreasonable to expect a company like Land Rover to do what they say they are going to do?

I am sitting here reading the comments from others and I realise that I am far from alone with having issues with Land Rover Customer Services.  It is shocking that a company such as this appear to be struggling so much with basic stuff like build quality and customer service.  They sell what is perceived as a premium product at premium prices.  They need to get the basics right!",1,Land Rover
29,Tom,After buying the all new Discovery HSE…,en,2019-12-19T14:43:44Z,"After buying the all new Discovery HSE Luxury, I have had nothing but problems:
Bonnet catch
Windscreen seal
Door won't close (twice!) so held with bugy cords
Sunroof noise
Adblue by the gallon being used
Tailgate broken
Service intervals on the computer all over the place
Front passenger window broken (twice!) Second time it came back from the dealer and the seals were still in the boot so had to pay an independent garage to do it. 
Grange Landrover never pickup the phone, never do a good job and left me with a door that wouldn't close for 3 weeks when er have 3 children. Good service for a £70k car? 

Also own and Discovery sport. Won't lock when cold or raining, and our previous Evoque - same issue!
On hold (again) to Land Rover Customer Service whilst writing this. 
You decide. 
Goodbye Land Rover.",1,Land Rover
30,Sanjay Singh,I hate Landrover people,en,2019-12-14T14:57:46Z,"After a terrible, horrible experience with Grange Landrover I finally sold my Landrover discovery sport and went to the BMW brand. 
Believe me guys it's a completely different experience and you feel the pride and do not regret after spending 80K grand on car. According to me the Landrover brand should succumb to its poor customer service in the next few years, it will become history. Goodbye LANDROVER and the terrible people behind the company and dealership.",1,Land Rover
31,Jon Clare,If I could give 0 star I would,en,2019-12-12T13:16:12Z,"If I could give 0 star I would, theyre attitude is simply were happy to take your money but not sort out a refund. 

Bought a new car 67 plate with 12k on clock from LR Knutsford, only a few months old and its had 7k worth of repairs under warranty including a new DPF filter, new turbo, new brakes. Its under finance so Ive decided I want to reject the car as its useless, in fact yesterday the blower/heater broke, LR wont accept it back making every excuse under the sun, they are fully aware of the low revs gearbox issues as mentioned in many of these complaints but seem to just brush it under the carpet, apparently spending 50k on a car doesnt matter to them, the Cheshire set can afford it! I'll NEVER buy a land rover again, back to Audi it is........",1,Land Rover
32,jon,If I could give 0 star I would,en,2019-12-12T13:12:52Z,"Bought a new car 67 plate with 12k on clock from LR Knutsford, only a few months old and its had 7k worth of repairs under warranty including a new DPF filter, new turbo, new brakes. Its under finance so Ive decided I want to reject the car as its useless, in fact yesterday the blower/heater broke, LR wont accept it back making every excuse under the sun, they are fully aware of the low revs gearbox issues as mentioned in many of these complaints but seem to just brush it under the carpet, apparently spending 50k on a car doesnt matter to them, the Cheshire set can afford it! I'll NEVER buy a land rover again, back to Audi it is........",1,Land Rover
33,Tam,Brought a new evoque (68 plate) at the…,en,2019-12-11T16:48:15Z,"Brought a new evoque (68 plate) at the start was really pleased with the look and style of the car, after driving a few days the performance was not living up to what you would expect, it struggles with the automatic changes with speed, and is very unresponsive if your slowing down and then put your foot down to go, the car takes 10 seconds to decide to go, can be very dangerous at round abouts. But I still liked the car and come to terms with it being a sluggish car! 
After 6 months the car started making an horrendous squeaking noise after taking it back to the garage twice we have been told it’s a common fault and there’s nothing they can do about it so we have to live with it! Apparently it’s what they use to make the break pads !!! 
After filling numerous complaints and being told that most cars do it, it’s the cold weather , it’s the hot weather, it’s how many miles you have done (6500k in over a year) 
It’s the way we drive, it’s manufacturers issue, you will need to speak to Land Rover, literally every excuse possible and still have a very expensive car that squeaks, it’s embarrassing and they have clearly sold and are selling faulty items!! 
I am waiting to hear what they are to do next, but dont hold much hope, I will never buy another land rover or Range Rover again and I will be ensure to make sure everyone I know does not buy one either! 
Extremely disappointed with the evoque A’s performance and land rovers attitude to getting the car fixed.",2,Land Rover
34,Gary S,3 Years of Motoring Hell -a Dog of a Discovery - Never Again,en,2019-12-10T16:31:13Z,"I’ve had Land Rovers for years but my experience with the Dog that is Discovery 5 - means I’ll never buy/lease another. From the day I collected it and it went straight into having electronics issues to 32 months later and 25 visits to the dealers to repair multitude of electronics faults, air con faults  , tailgate , windscreen rubber , oil dilution , servicing warning fault , 10l adblue every 2000 miles ( and told I must be driving up hills and short journeys - the car has been mostly on A roads and Motorways !!  ) bonnet catch , engine management , going into limp mode , and worst of all the car filling with water ( apparently the sill panels weren’t fitted properly !!) and being off road for 6 weeks.the vehicle has only done 46k miles.  As a business owner leasing the vehicle the amount of time I have lost as a result of the atrocious reliability of this car is ridiculous , especially given the expensive and supposedly premium status of LR - I think the dealers are actually embarrassed every time they see me - if they aren’t then they should be !! I cannot wait to hand it back in a couple of months and say good riddance to this totally shoddy vehicle!! If I could give zero stars I would. I will be putting together my tale of woe for the motoring ombudsman!",1,Land Rover
35,hesham tobar,I had a very bad experience with…,en,2019-12-10T03:39:43Z,I had a very bad experience with Pentland range rover Edinburg I am thinking to dumb my car and call my lawyer .,1,Land Rover
36,Derek Jones,I've been driving Land Rovers for 25…,en,2019-12-09T15:48:13Z,"I've been driving Land Rovers for 25 years, and will shortly be switching to another make - not because of the build quality or design, but because of the ATROCIOUS service.
A month's wait if you want a service or repair with a loan car. 6 attempts to fix a gear change problem that turned out to be just a poor electrical connection. Turning up to have a repair done, to find that the  loan car has been arranged, but that the service has not been booked in. Changing a pulley when the problem was a blowing exhaust gasket. Constant arguments about what is and is not coveted under extended warranties. Cars kept for days for even the silliest little repairs.
The best two local service agents were ditched by Land Rover. Now I'm stuck with Wimbledon Land Rovers and Guy Salmon, who don't answer their phones or respond to emails.
And there's so much more . . . .
I give up. Lost customer. Goodbye.",1,Land Rover
37,Michelle ,DPF filter issues - known problem.,en,2019-12-08T18:46:33Z,"Had my Evoque 4 months when the dpf filter went. JLR told me it was normal. Replaced it but said it will happen again. They have blamed my driving style for the fault. I live in zone 4 London and therefore do a lot of short journeys. This appears to be causing the issues with the filter. Now I’m too scared to drive the car in case the filter goes again and it will cost me £1500 I’ve been told.  I’m so upset, I’ve worked so hard to get the car and now it’s sat in the drive. JLR not interested at all and keep telling me it’s my driving style etc. Turns out it’s a known problem affecting lots of JLR vehicles so that upsets me even more. Now going through hell arguing with a sales manager trying to get it resolved. Never ever ever again.",1,Land Rover
38,Andrew Langdell,Land Rover Discovery,en,2019-12-02T15:52:46Z,"Land Rover Discovery. Purchased new 4/18. May 19 - reported to dealer engine noise but dismissed as normal engine noise.
October 19, 17 months old with 40000 miles. Complete engine failure. Over a month in the dealer, covered by warranty but LR doesn't understand why I may be unhappy.
Never again.",1,Land Rover
