Column1,reviewerName,headline,inLanguage,datePublished,reviewBody,ratingValue,business
36,Keith,Exceptional Service Until Delivery,en,2019-12-02T09:38:00Z,"First time using Rockar and the experience was very good from placing the order until point of delivery that is where the process fell down. Communications with the Rockar team was excellent, knowledgable responses and quick. Unfortunately the process was let down when the car was delivered filthy and a full inspection could not be carried out on the bodywork, had I been returning this vehicle it would not have been in an acceptable condition. The first job I had to do was wash the car, not really good enough when buying a brand new car. If the condition had been better I would have without hesitation given a 5 stars review.",4,Rockar
37,Salma ali ,Customer safety not a priority,en,2019-12-01T10:53:13Z,"Buying a vehicle with Landrover is a big NO. I will also be leaving an in depth review on other social media platforms because I’ve had enough of the tactics they’ve used to force me to keep this car which has spent already 5 times getting repaired in less than a year of me having this ‘brand new 2019’ car. I have had the most horrific experience of my life with this brand and this was the first and last purchase I’ll ever make with them. I have been given the run around by the brand since the first time there was an issue discovered with my hybrid Range Rover sport. It is unfortunate that such an established brand treats their customers so poorly. I have emails as proof that Land Rover have rejected my request to reject the vehicle when I was well within my rights to do so. So here goes in March I purchased what I believed to be my dream car, the Range Rover sport hybrid. Come April it started to get a bit hot so I needed to use the AC, unfortunately the AC was blowing out hot air. I tried to book into a Land Rover service center but no one was willing to book me in as an emergency they were all telling me they were fully booked and the earliest availability was 2-3 weeks. Fine, I booked in with Lookers chipperfield who said they usually call me in when they had my slot available I was waiting for day’s and I didn’t receive a call. I then proceeded to complain about them to Land Rover who reassured me that they’re deeply sorry but by that time I managed to book in with Aylesbury Land Rover who called me 2 days later telling me ‘we can’t really tell what the issue is at this point and we don’t have a time frame of when this will be resolved as it’s quite a mess in there’ what?? She basically told me because it’s a hybrid it’s quite complicated under the bonnet, I told her to at least give me a courtesy car and she told me Aylesbury didn’t have any available so I then proceeded to take my car back from them and called the Land Rover Rockar branch where I purchased the car from. I was angry, upset, so many emotions because the AC not working was one problem but to top it off it off the climate screen kept going fully black meaning I couldn’t control it, so everytime it got steamy In the car I was having to open the window instead of use the climate to clear the windscreen. I then decided the people I got the car from are responsible and should resolve this. I sent them my car, they didn’t have a courtesy car for me either so I told them to come and take my car when they do have a courtesy car, that was like 2 weeks later anyways, they took the car for a whole week, kept me updated told me they’d repaired the AC & also the black screen, I was very happy. A few drives later the screen went black again so I had to give the car in for repair ‘AGAIN’ they brought the car back and told me it should be fixed now we did a module update and it should be fine, to my surprise a few days later again the same issue AND let me tell you about a new issue along with the black screen, the car stopped driving in the overtaking lane on the motorway and when i told head of After Sales about this he wasn’t at all concerned however he said he’d look at it. This is a 2019 Range Rover sport hybrid that conked out on the m40 at 11:36pm at night, recovery came and rescued me at approximately 1:45AM, I was standing on the side of the motorway in the freezing cold after midnight in some trees all by myself, I was scared, alone and cold. Yesterday night the exact same thing has happened again to my brother, sister, Aunty and mother who had to be on their way home after rescue. I was told by the head of aftersales at rockar that the cars fuel range software had been updated but my family are stranded in the cold on the m40 regardless. I would also like to add that I asked to reject the vehicle within the 3 month purchase range and he told me I couldn’t reject it because Jaguar Land Rover rejected my rejection. I am heart broken, I’ve never ever received such horrendous careless customer service in my life. They also said If I was to get through with rejecting the car anyways I would have to pay them for all the mileage I’ve used up on it. I don’t know if anyone is reading this but please never ever make the mistake of getting a car with Land Rover ESPECIALLY not a hybrid and do not ever think that these people care about you or your safety because they don’t. They want money and that’s that! Safety is not a priority for Land Rover. I would post screen shots of all emails where I’ve been told that I can’t reject the vehicle but I can’t upload here, if you’re reading do you think It is fair what I’ve had to go through? With a brand new 2019 Range Rover sport? Although I appreciate the kindness shown from head of after sales at rockar Westfield Stratford I am at a loss for words at the insensitivity of Jaguar Landrover. I won’t stop at this, I will use every way possible to tell people about this brand and how safety isn’t a priority to them. Please someone help me, I am paying for a car that is constantly having issues I don’t want this car it’s dangerous, I don’t feel safe anymore and I am scared to drive it. I literally asked them to give me an exchange within the first 3 months and they refused me and forced me to keep a car that is having continuous problems. I have no choice but to take the legal route. Land Rover could care less about customer safety.",1,Rockar
38,Mr Burgess,Great experience,en,2019-11-29T22:30:26Z,"We arranged to test drive two cars and actually drove three
We were then taken to the showroom where we discussed our experience and placed an order
An easy process and a great price
Subsequent to our order we received documents through our on line account
All very easy",5,Rockar
39,J.C,Recommend,en,2019-11-29T07:44:46Z,"Recommend. It was easy to place an order online, and staff are always available to help even though it was done all on their website. They offer very good deals and were very upfront with the details i.e. delivery dates, part-exchange etc. 

I have had no problems so far - order placed and waiting for delivery of the vehicle.",5,Rockar
40,Tony,Very easy system to use.,en,2019-11-27T17:57:11Z,Very easy system to use.,5,Rockar
41,Annette,Amazing service from start to finish.,en,2019-11-26T19:23:34Z,"Amazing service from start to finish.
I personally don’t enjoy the whole showroom experience so Rockar was perfect for my busy lifestyle. 

Everyone has been amazing but Chris has to have the biggest shout out. Chris finalised my car when he was on annual leave. I can’t recommend Rockar enough. 

Five Star product with a Five Star service ⭐️🌟✨",5,Rockar
42,Mo Mayet,I had to cancel my order,en,2019-11-25T13:45:28Z,"I placed an order on a new Jaguar XE HSE at Jaguar Rockar at their showroom at Westfield Stratford on Sunday 17th November.

I haven’t purchased a Jaguar previously. I have been purchasing a new car every 2 years and have stuck with well-known German brands, Audi, BMW and Mercedes. My current car is an E Class which I return to Mercedes in December.
 
My daughter has been insisting we change from our normal car choice and suggested Jaguar, so we visited the Rockar Jaguar showroom, had booked a test drive in a new E Pace which went well. When we returned to the showroom, my daughter saw the XE on display and said she preferred that. As I had already had a test drive in the day, to not cause any delay I ordered a new XE without test driving to make the process easier for everyone. The Salesperson was brilliant, very helpful and informative, I chose the different payment method and we chose 14th December for delivery as this came up as an option when I paid the deposit. We left the showroom and my daughter was delighted that we had finally switched to Jaguar.
 
On Monday 18th November, I received an email from Rockar Customer Support saying the car will be ready 28th November, what time can I collect the car? I replied explaining I am in the UAE attending the Abu Dhabi Grand Prix, do I have to take delivery on 28th?
 
I later received a reply to say “As your vehicle the additional stock support discount, you would need to take delivery before the 9th December”.
 
I have now replied and cancelled my order as I think their behaviour is shocking, I ordered the car one day earlier, chose a date that they gave me as available and now they can’t deliver on that promise. I was supposed to be in Qatar on the 14th of December to watch the Club World Championships, on Sunday evening after ordering the car, I changed my travel plans and paid for a change to my flights, now flying to Qatar on 15th December.
 
Jaguar Financial services have completed a search on my credit file which lowers my credit score, this should never have taken place if you can’t deliver the car as promised, no need for a credit search to be completed.
 
Rockar Customer Service called me on Tuesday 19th November to find out what has happened, and to say he can arrange for the car to be delivered as originally promised. When I explained I was very unhappy with what had happened he acknowledged mistakes had been made but failed to understand why I was so unhappy and why I still wanted to cancel. I thanked him for calling, but unfortunately one day too late in my opinion. The two customer service agents emailing me should have picked up the phone and called me but didn’t, they thought it is acceptable to give me an ultimatum via email. I explained, I can’t purchase a car from a dealer who have started my experience this way and I was very upset over the whole situation yesterday evening.
 
I have been purchasing new cars every 2 years for over 20 years now and have never come across this sort of behaviour before, and now I know why I have stuck to the brands that deliver the right customer service.

On Thursday 21st November I had another call from someone at Rockar, he apologised for what had happened and I accepted the apology. 
 
Safe to say I won’t be purchasing a Jaguar now or ever in the future.",1,Rockar
43,customer,Buy your cars here,en,2019-11-20T17:02:50Z,Buy your cars here ! Great service,5,Rockar
44,Malcolm,A great car at a great price.  All good.…,en,2019-11-20T11:08:09Z,"Dealing with Rockar did seem a bit strange at first compared with my earlier experiences buying a Jaguar from more conventional dealers.  Going to see the car in a busy shopping mall seemed odd.  All the online uploads and more done by the customer over the internet also seemed strange and at one stage I did even call Jaguar UK to check that these guys really were an authorised dealer.  However their focus on the customer was strong and I ended up with a great car at a great price, a very fair valuation on my trade in, and delivery to my door.  Spot on.  I would be happy to use them again.  They definitely exceeded my expectations",5,Rockar
45,Andy Rossides,Friendly staff and most helpful,en,2019-11-18T15:06:31Z,Friendly staff and most helpful,5,Rockar
46,Chris Vos,Extremely easy,en,2019-11-16T11:04:23Z,"Extremely easy, transparent and fast. A great model for car sales",5,Rockar
47,Dr. Amun Kalia,Fantastic from start to finish!,en,2019-11-13T15:34:35Z,Fantastic from start to finish! The future of car buying- thanks to all!,5,Rockar
48,John Sayer,As a rule I don't leave reviews,en,2019-11-04T20:43:57Z,As a rule I don't leave reviews . But I think it only fair as in all the years I have dealt with motor traders when buying a vehicle I have to say that Rockar stands out from everyone else .They made things just so easy for me .They kept me in formed every step of the way .When I travelled up to see the motor everyone I meet was 100%and more .After getting the car home I noticed a minor stratch  on the bumper .I thought to myself I will just ring them and straight away the car was taken  in and done .when buying any vehicle in the future I will be using Rockar .And to top it off I found Rockar very very good on there prices I don't think that you would find a car cheaper anywhere else in the country . A REAL BIG THANK YOU TO ALL THE LADS FROM STATFORD,5,Rockar
49,Vidru Daniel Cristian,Seriousneess,en,2019-11-01T17:05:13Z,"Ok 
Indulgence, understanding and great capacity a vote of 10 for the team",5,Rockar
50,James,Holly gave really speedy replies and…,en,2019-10-29T18:50:05Z,Holly gave really speedy replies and best prices around!,5,Rockar
51,MARTIN ROONEY,Good experience,en,2019-10-28T14:43:19Z,"No hassles, easy to business with.
Professional and most importantly I got a deal that I could afford, especially with the reduced interest rate.",5,Rockar
52,Keef,Refreshingly enjoyable experience,en,2019-10-28T14:19:56Z,"Refreshingly enjoyable experience right the way from initial phone call, through purchase, delivery to post-purchase care contact.
Such a good outfit to deal with.",5,Rockar
53,RobD,Fantastic in every way,en,2019-10-28T09:55:07Z,"Amazing service all round.

Buying my new car was so simple. The online documents, help from the team - who were always available, and especially the handover were efficient, professional and gave me peace of mind.

Would definitely recommend and use again.",5,Rockar
54,David Lev,For those about to Rockar... I salute you,en,2019-10-25T08:16:09Z,"Purchasing my car from Rockar was a very pleasurable and smooth experience (much like driving a Jaguar!).

The staff in-store were super helpful and lovely, particularly Ben and Natalia who went the extra mile to help me find the perfect car at a reasonable price.

Massively recommend!",5,Rockar
55,Dean Newman,Smooth experience from online to home delivery,en,2019-10-24T13:28:52Z,"Excellent vehicles, very helpful customer service.",5,Rockar
56,Robin,Seamless Jag I-pace purchase,en,2019-10-22T18:44:53Z,"Just ordered a Jaguar I-pace through Merve at Jaguar Rockar. I like their approach to service - non pushy, let me take the car for a test drive by myself without a sales person telling me about the car through the drive, allowing me to focus on the car and it’s functions. Would highly recommend. 

Can’t wait for my car in a few days. 

R",5,Rockar
57,Quinn  Carr,Well played Jaguar Rockar!,en,2019-10-19T07:41:56Z,"very good and proffesional service,they made me aware there would be a delay with the delivery of my car, which was out of there control. Good communication and i am super with my new car! thanks guys!!",5,Rockar
58,JArth,I had a Great customer experience both…,en,2019-10-11T09:30:07Z,"I had a Great customer experience both in store and over the phone. Chris Hall, Amy and the young lady in store were exceptionally helpful. Good customer service. Thank you.",5,Rockar
59,Asif Chaudry,Best Salesman,en,2019-10-10T11:26:14Z,The salesman at rockar had the best car knowledge and experience in delivering my car to the best high standard and leads by example when it comes to sales. He made sure all my needs are full filled from choosing my car until the delivery of my car. Pleasure to do business with the rockar team and will continue my business relationship with them from now on. Thank you once again all at rockar your hard work and efforts are greatly appreciated 👌,5,Rockar
60,Qazi Mumtaz Hussain,Best Customer Experience,en,2019-10-03T12:40:18Z,All Excellent,5,Rockar
61,Helen,Chat function worked really well and…,en,2019-10-01T15:26:15Z,Chat function worked really well and staff replied promptly with good info.,5,Rockar
62,Mr Clive Warren,My father has asked me to write this…,en,2019-09-29T12:38:07Z,"My father has asked me to write this review on his behalf as he is not brilliant with IT, he still cant get his head around he has a new car sitting on the driveway with out going to a show room, let alone how great Rockar Jaguar was. No pressure sales no issues straight forward and easy to deal with, never did he think it possible to buy a car online yet Rockar made this possible and Rich who delivered and done the hand over was great and had loads of time for going through the features and car tech, Rich was a true gent. I would 100% buy again with Rockar what a great way to buy a car. You haven't got to Rock up and buy with Rockar they come to you bringing a better than dealership experience! Even my personal reg was on the car they made that look easy to!",5,Rockar
63,Muibat,Service was brilliant and non-complicated,en,2019-09-26T13:38:06Z,Service was brilliant and non complicated. I am very happy,5,Rockar
64,UK Birmingham ,Excellent experience and love the…,en,2019-09-26T12:29:31Z,Excellent experience and love the online processes,5,Rockar
65,Brian,Great relaxed experience,en,2019-09-24T13:34:21Z,"A relaxed, non-pressurised car purchasing experience with great value deals make Rockar difficult to ignore.",4,Rockar
66,laurence cohen,Ordering a new car from stock was easy…,en,2019-09-23T17:36:42Z,Ordering a new car from stock was easy and the fact that everything could be processed over the internet made it easy.  The stock to choose from was extensive.  When I had a query it was dealt with quickly and accurately,5,Rockar
67,Ed H,Possibly the best customer experience…,en,2019-09-20T18:15:33Z,Possibly the best customer experience I’ve had. The Rockar Jag team were knowledgable and professional throughout. Exceptional service specifically from Holly. Would highly recommend.,5,Rockar
68,Damien,Buying an ex demonstrator,en,2019-09-20T08:37:06Z,Very knowledgeable and great deals with relaxed customer service,5,Rockar
69,Syed,best deal,en,2019-09-17T08:41:15Z,best deal I got after surveying different companies showroom,5,Rockar
70,Ralf,One week on from informing me that the…,en,2019-09-13T13:07:44Z,"One week on from informing me that the car could not be delivered to due a fault, there had been no update. Poor service initially for a brand new vehicle purchase.

Follow up: to give Rockar credit, they called almost immediately after I pointed this out, with a full apology and a plan for improving service. Was impressed with that.",3,Rockar
71,Mark,Very smooth buying process and great…,en,2019-09-10T16:48:21Z,Very smooth buying process and great price - all excellent cant wait to take delivery of my new car👍👍,5,Rockar
72,Thana’a,Fantastic experience,en,2019-09-10T16:23:22Z,"Fantastic experience. Unlike any other car dealership. Very friendly and approachable, good prices and unique business structure that means you don’t feel pressured into buying. 

I’m very particular and considering this was my first high-value car purchase, the team were very welcoming of me trying many different options without certainty of me buying. Highly recommended!",5,Rockar
73,Simon,Completely refreshing to deal with…,en,2019-09-06T20:17:02Z,Completely refreshing to deal with Rockar instead of dealing with car salesman trying every trick in the book to maximise their commission. Was not pressurised at all and was given advice that was made not to earn more money out of me. Holly was particularly helpful and all the financials were transparent. Hope this continues to delivery.,5,Rockar
74,Tarwinder,I’m happy,en,2019-09-04T18:26:58Z,I’m happy with your service,5,Rockar
75,DaveK Hull,slick and easy to use website,en,2019-09-04T17:57:07Z,slick and easy to use website,5,Rockar
76,Sanjeev,This business is trying to do away with…,en,2019-09-04T16:32:31Z,"This business is trying to do away with human interface and pass on the savings to the customer like a lot of other start ups in high ticket purchases (eg purple bricks and houses). It does well at passing on the savings but..

The online process is ok. For me they may have dehumanised the car buying process too much. It wasn’t very clear to me what stage I was at and whether I’d even got the finance approved when I made the order. 

After buying a house, a car is the biggest purchase you’ll make and I’m not sure a luxury car fitted with an easyJet service works for me. I’d like one point of contact at the very least rather than 5 I spoke too at various stages of the order.",3,Rockar
77,Alastair,Great experience,en,2019-08-28T16:02:54Z,Great experience,5,Rockar
78,Kim Weatherley,Super easy way to buy an approved Land…,en,2019-08-27T16:20:56Z,Super easy way to buy an approved Land Rover online. Best price and no pushy sales people. Expertly helped when I needed it by Holly to finalise my purchase. Looking forward to my home delivery this week.,5,Rockar
79,Leona,No pushy sales representatives makes…,en,2019-08-20T16:25:03Z,No pushy sales representatives makes the buying process so much more enjoyable. The great discounts and lower Interest rates moves you above the high street main dealers! Very happy customer!,5,Rockar
80,Roger,Ordering process very good,en,2019-08-20T16:13:53Z,Ordering process very good. Will see how collections goes in November. Nice team of people and attentive to phone and emails.,5,Rockar
81,.Rajwinder,Very helping team,en,2019-08-15T15:52:52Z,Very helping team. Much better than some other dealers.,5,Rockar
82,Steve,Nice and easy with good level of advice…,en,2019-08-12T17:55:30Z,Nice and easy with good level of advice and on going support.,5,Rockar
83,Simone Shillingford,Excellent customer service from…,en,2019-08-08T16:55:39Z,"Excellent customer service from Stratford showroom store staff especially Ben. Very knowledgeable, friendly and helpful!",5,Rockar
84,CarBuyerVelar,They were great in service and response…,en,2019-08-08T13:39:41Z,They were great in service and response however they did not honour their CarWow price which is why they don't get the full 5 stars,4,Rockar
85,Taj Dhanda,Best car buying experience to date,en,2019-08-08T09:09:54Z,"Best car buying experience to date, this was simple straight forward and very informative, did not feel any pressure to buy which made me want to buy from them, as I can clearly tell they aren't trying to earn a commission like the main dealers.",5,Rockar
86,lloyd mcintosh,The online configuration tool is very…,en,2019-08-05T17:35:23Z,"The online configuration tool is very easy to use, it enabled me to select exactly what I wanted and how I was going to pay for it, with no pressure and in my own time. Any enquiries were dealt with very quickly by Holly via chat. An excellent experience, would recommend.",5,Rockar
87,J S Bloom,Very efficient service,en,2019-08-05T11:49:34Z,Very efficient service. We felt that we were treated well and the staff response was appreciative and valued our custom,5,Rockar
88,Andrew Abraham ,Professional and efficient company…,en,2019-08-05T09:20:01Z,"Professional and efficient company throughout the process, from ordering to delivery.",5,Rockar
89,Ahmad,Simple and flexible as you like,en,2019-08-02T11:18:42Z,"Very best, simplified and easy way to buy a range/Jag.
I would only suggest that don't be fooled by online or discounted offers, I have searched many options but this rocker online system is the best just because you can choose absolutely what you can afford to buy or pay, and you can compare with any other offer available.
100% best company if you are looking to buy a range/Jag.",5,Rockar
90,Roshni Patel,Great service,en,2019-08-02T10:17:31Z,Great experience with the team! Looking forward to receiving my new car,5,Rockar
91,Marcia Gregory,Excellent service,en,2019-07-27T17:27:43Z,"Excellent service, especially taking time to explain the different features of the car before I purchased it.",5,Rockar
92,Mohammed,Excellent service.,en,2019-07-27T16:08:58Z,Excellent service.,5,Rockar
93,Hiron Miah,Great online service from start to finish,en,2019-07-26T18:40:44Z,"Great service from start to finish, especially the online customer service. I had many queries about the car and process and never did I feel it was too much trouble for anyone to assist me. The actual process of buying the car has been the simplest I’ve ever experienced. I found the staff on site at Rockar Westfield were quite new and couldn’t answer a lot of the basic questions we had about the cars, which is a bit disappointing when you’re preparing to spend a large sum of money. Otherwise a great experience.",4,Rockar
94,Sally Martin,Excellent,en,2019-07-26T12:33:54Z,"Excellent , Great communication and easy process , thanks",5,Rockar
95,Henry (Harry) Manley,The showroom sale team is always ready…,en,2019-07-22T15:06:20Z,"The showroom sale team is always ready to respond quickly and answer any questions i may have and very polite and friendly, making the customer feel at ease.",5,Rockar
96,Noel Finn,Holly Coulfield was very helpful and…,en,2019-07-22T14:56:03Z,Holly Coulfield was very helpful and efficient excellent service,5,Rockar
97,James,Great service,en,2019-07-18T11:28:29Z,"Great, fast service",5,Rockar
98,Rotimi,Good service friendly and professional…,en,2019-07-17T23:29:20Z,Good service friendly and professional staffs,5,Rockar
99,Carl,"Straight forward, simple, superb.",en,2019-07-16T18:50:25Z,"Straight forward, simple, and superb service from start to finish.",5,Rockar
100,Scott,Great help when I wasn’t overly sure…,en,2019-07-16T14:50:07Z,Great help when I wasn’t overly sure what I was doing . 5 stars for sure 👍,5,Rockar
101,Laura,Fantastic customer service and…,en,2019-07-16T13:11:12Z,Fantastic customer service and incredibly smooth customer experience. Cannot rate highly enough.,5,Rockar
102,Daniel king,Everyone I have spoken too has been…,en,2019-07-16T12:55:20Z,Everyone I have spoken too has been extremely nice and helpful. Thank you,5,Rockar
103,Gillies,Amazing experience really looking…,en,2019-07-14T11:29:43Z,"Amazing experience really looking forward to my delivery, the mix of technology and the personal touch was excellent.",5,Rockar
104,Sean,Really efficient staff,en,2019-07-10T14:05:03Z,"Really efficient staff, helpful and honest. Perfect when you need to sort quickly.",5,Rockar
105,AD ,Excellent service,en,2019-07-08T06:27:25Z,"Excellent service, easy to deal with and kept me informed at which stage the process was at. The staff are friendly and knowledgeable and I would buy another car via Rockar based on the experience I have had with them.",5,Rockar
106,Customer,A professional and friendly service was…,en,2019-07-04T14:31:57Z,A professional and friendly service was received from beginning to end. I would highly recommend this company.,5,Rockar
107,Neil fisher,great service as always,en,2019-07-01T17:18:43Z,great service as always,5,Rockar
108,Dan B,"Extremely helpful, Seamless experience",en,2019-07-01T14:32:06Z,Extremely helpful and seamless experience,5,Rockar
109,Paul,Good experience so far.,en,2019-06-28T14:38:20Z,Good experience so far although i do not get the car until November.,5,Rockar
110,customer,Great service and prices,en,2019-06-28T14:09:42Z,Great service and prices,5,Rockar
